"report_time","all_equity","all_A","float_A","restricted_A","change_from","scrapy_time","code"
"2019-09-30","4.31亿","4.31亿","4.30亿","74.69万","三季报","2020-02-26 17:56:07","600993"
"2019-09-30","4.79亿","4.79亿","4.79亿","-","三季报","2020-02-26 17:56:13","600995"
"2019-09-30","10.52亿","10.52亿","3.07亿","7.45亿","三季报","2020-02-26 17:56:18","600996"
"2019-09-30","15.88亿","15.88亿","12.35亿","3.53亿","三季报","2020-02-26 17:56:21","600997"
"2019-09-30","18.78亿","18.78亿","16.73亿","2.04亿","三季报","2020-02-26 17:56:26","600998"
"2019-09-30","66.99亿","57.19亿","57.19亿","-","三季报","2020-02-26 17:56:28","600999"
"2019-09-30","59.26亿","59.26亿","55.74亿","3.52亿","三季报","2020-02-26 17:56:32","601000"
"2019-09-30","16.74亿","16.74亿","16.74亿","-","三季报","2020-02-26 17:56:33","601001"
"2019-09-30","7.93亿","7.93亿","7.93亿","-","三季报","2020-02-26 17:56:36","601002"
"2019-09-30","25.63亿","25.63亿","25.63亿","-","三季报","2020-02-26 17:56:37","601003"
"2019-09-30","89.19亿","83.80亿","83.80亿","-","三季报","2020-02-26 17:56:40","601005"
"2019-09-30","148.67亿","148.67亿","148.67亿","-","三季报","2020-02-26 17:56:38","601006"
"2019-09-30","3.00亿","3.00亿","3.00亿","-","三季报","2020-02-26 17:56:49","601007"
"2019-11-19","10.94亿","10.94亿","10.15亿","7861.11万","非公开发行股票","2020-02-26 17:56:43","601008"
"2019-09-30","84.82亿","84.82亿","84.82亿","-","三季报","2020-02-26 17:56:52","601009"
"2019-09-30","18.48亿","18.48亿","18.48亿","-","三季报","2020-02-26 17:56:57","601010"
"2019-09-30","16.11亿","16.11亿","15.99亿","1175.94万","三季报","2020-02-26 17:57:03","601011"
"2019-11-29","37.72亿","37.72亿","37.68亿","446.70万","激励股份上市","2020-02-26 17:57:08","601012"
"2019-09-30","16.30亿","16.30亿","14.59亿","1.71亿","三季报","2020-02-26 17:57:09","601015"
"2019-09-30","41.56亿","41.56亿","41.56亿","-","三季报","2020-02-26 17:57:12","601016"
"2019-09-30","131.73亿","131.73亿","128.00亿","3.73亿","三季报","2020-02-26 17:57:15","601018"
"2019-09-30","20.87亿","20.87亿","4.27亿","16.60亿","三季报","2020-02-26 17:57:17","601019"
"2019-09-30","5.26亿","5.26亿","5.23亿","305.53万","三季报","2020-02-26 17:57:19","601020"
"2019-06-30","9.17亿","9.17亿","9.16亿","43.50万","半年报","2020-02-26 17:57:27","601021"
"2019-09-30","7.83亿","7.83亿","7.83亿","-","三季报","2020-02-26 17:57:25","601028"
"2019-09-30","9.86亿","5.94亿","5.94亿","-","三季报","2020-02-26 17:57:36","601038"
"2019-09-30","27.00亿","27.00亿","21.59亿","5.41亿","三季报","2020-02-26 17:57:32","601058"
"2019-09-30","76.46亿","63.85亿","8.64亿","55.21亿","三季报","2020-02-26 17:57:37","601066"
"2019-09-30","29.59亿","25.60亿","2.96亿","22.64亿","三季报","2020-02-26 17:57:39","601068"
"2019-09-30","6.36亿","6.36亿","6.36亿","-","三季报","2020-02-26 17:57:42","601069"
"2019-10-29","113.57亿","88.44亿","11.00亿","77.43亿","A股上市,配售股份上市","2020-02-26 17:57:44","601077"
"2019-09-30","6.66亿","6.66亿","1.66亿","5.00亿","三季报","2020-02-26 17:57:47","601086"
"2019-09-30","198.90亿","164.91亿","164.91亿","-","三季报","2020-02-26 17:57:52","601088"
"2019-09-30","17.96亿","17.96亿","17.96亿","-","三季报","2020-02-26 17:57:53","601098"
"2019-09-30","68.16亿","68.16亿","68.16亿","-","三季报","2020-02-26 17:57:58","601099"
"2019-09-30","8.82亿","8.82亿","8.82亿","-","三季报","2020-02-26 17:58:02","601100"
"2019-09-30","12.00亿","12.00亿","12.00亿","-","三季报","2020-02-26 17:58:06","601101"
"2019-09-30","68.58亿","68.58亿","65.38亿","3.20亿","三季报","2020-02-26 17:58:08","601106"
"2019-09-30","30.58亿","21.63亿","21.63亿","-","三季报","2020-02-26 17:58:12","601107"
"2019-09-30","35.89亿","35.89亿","24.07亿","11.82亿","三季报","2020-02-26 17:58:16","601108"
"2019-09-30","145.25亿","99.62亿","94.49亿","5.13亿","三季报","2020-02-26 17:58:23","601111"
"2019-09-30","11.41亿","11.41亿","9.08亿","2.34亿","三季报","2020-02-26 17:58:18","601113"
"2019-09-30","5.48亿","5.48亿","4.11亿","1.37亿","三季报","2020-02-26 17:58:27","601116"
"2019-09-30","49.33亿","49.33亿","49.33亿","-","三季报","2020-02-26 17:58:32","601117"
"2019-09-30","42.79亿","42.79亿","42.79亿","-","三季报","2020-02-26 17:58:37","601118"
"2019-09-30","8.13亿","8.13亿","7.96亿","1765.54万","三季报","2020-02-26 17:58:39","601126"
"2019-09-30","9.41亿","9.41亿","9.33亿","800.00万","三季报","2020-02-26 17:58:43","601127"
"2019-09-30","27.41亿","27.41亿","25.75亿","1.66亿","三季报","2020-02-26 17:58:50","601128"
"2019-09-30","6.85亿","6.85亿","6.15亿","7001.41万","三季报","2020-02-26 17:58:45","601137"
"2019-12-09","198.55亿","198.55亿","18.39亿","180.16亿","限售股份上市","2020-02-26 17:58:56","601138"
"2019-11-12","28.77亿","28.77亿","28.66亿","1106.00万","注销回购股份","2020-02-26 17:58:58","601139"
"2019-09-30","22.57亿","22.57亿","22.46亿","1074.00万","三季报","2020-02-26 17:58:59","601155"
"2019-09-30","48.00亿","48.00亿","48.00亿","-","三季报","2020-02-26 17:59:04","601158"
"2019-10-21","51.80亿","51.80亿","23.53亿","28.27亿","限售股份上市","2020-02-26 17:59:11","601162"
"2019-09-30","8.00亿","8.00亿","8.00亿","-","三季报","2020-02-26 17:59:09","601163"
"2019-09-30","207.74亿","207.74亿","190.52亿","17.22亿","三季报","2020-02-26 17:59:19","601166"
"2019-09-30","23.83亿","23.83亿","23.83亿","-","三季报","2020-02-26 17:59:15","601168"
"2019-09-30","211.43亿","211.43亿","182.48亿","28.95亿","三季报","2020-02-26 17:59:20","601169"
"2019-09-30","4.00亿","4.00亿","4.00亿","-","三季报","2020-02-26 17:59:26","601177"
"2019-09-30","51.26亿","51.26亿","51.26亿","-","三季报","2020-02-26 17:59:35","601179"
"2019-09-30","135.80亿","115.03亿","115.03亿","-","三季报","2020-02-26 17:59:31","601186"
"2019-09-30","13.16亿","13.16亿","13.16亿","-","三季报","2020-02-26 17:59:42","601188"
"2019-09-30","27.58亿","27.58亿","27.58亿","-","三季报","2020-02-26 17:59:40","601198"
"2019-09-30","9.35亿","9.35亿","9.35亿","-","三季报","2020-02-26 17:59:47","601199"
"2019-09-30","9.13亿","9.13亿","8.74亿","3927.64万","三季报","2020-02-26 17:59:44","601200"
"2019-09-30","6.27亿","6.27亿","6.27亿","-","三季报","2020-02-26 17:59:54","601208"
"2019-09-30","89.08亿","75.16亿","75.16亿","-","三季报","2020-02-26 17:59:51","601211"
"2019-09-30","74.05亿","74.05亿","19.65亿","54.40亿","三季报","2020-02-26 18:00:05","601212"
"2019-09-30","84.38亿","84.38亿","84.38亿","-","三季报","2020-02-26 18:00:00","601216"
"2019-10-15","9.92亿","9.92亿","9.77亿","1440.00万","股权激励","2020-02-26 18:00:07","601218"
"2019-09-30","17.58亿","17.58亿","17.49亿","879.20万","三季报","2020-02-26 18:00:13","601222"
"2019-09-30","100.00亿","100.00亿","100.00亿","-","三季报","2020-02-26 18:00:17","601225"
"2019-09-30","11.55亿","11.55亿","11.55亿","-","三季报","2020-02-26 18:00:22","601226"
"2019-09-30","61.93亿","61.93亿","14.43亿","47.50亿","三季报","2020-02-26 18:00:27","601228"
"2019-11-18","142.07亿","142.07亿","132.62亿","9.45亿","限售股份上市","2020-02-26 18:00:33","601229"
"2019-09-30","21.76亿","21.76亿","21.76亿","-","三季报","2020-02-26 18:00:32","601231"
"2019-09-30","18.48亿","18.48亿","18.48亿","-","三季报","2020-02-26 18:00:39","601233"
"2019-09-30","36.33亿","36.33亿","3.64亿","32.69亿","三季报","2020-02-26 18:00:44","601236"
"2019-09-30","102.38亿","71.39亿","60.84亿","10.55亿","三季报","2020-02-26 18:00:50","601238"
"2019-09-30","66.75亿","66.75亿","65.38亿","1.36亿","三季报","2020-02-26 18:00:59","601258"
"2019-09-30","3499.83亿","3192.44亿","2940.55亿","251.89亿","三季报","2020-02-26 18:00:54","601288"
"2019-09-30","64.91亿","53.92亿","4.54亿","49.38亿","三季报","2020-02-26 18:01:01","601298"
"2019-09-30","8.64亿","8.64亿","8.64亿","-","三季报","2020-02-26 18:01:06","601311"
"2019-09-30","182.80亿","108.33亿","108.33亿","-","三季报","2020-02-26 18:01:12","601318"
"2019-11-18","442.24亿","354.98亿","56.02亿","298.96亿","限售股份上市","2020-02-26 18:01:15","601319"
"2019-09-30","55.87亿","47.58亿","16.53亿","31.04亿","三季报","2020-02-26 18:01:17","601326"
"2019-09-30","742.63亿","392.51亿","392.51亿","-","三季报","2020-02-26 18:01:18","601328"
"2019-09-30","11.61亿","7.57亿","2.56亿","5.01亿","三季报","2020-02-26 18:01:20","601330"
"2019-09-30","70.84亿","56.52亿","56.52亿","-","三季报","2020-02-26 18:01:22","601333"
"2019-09-30","31.20亿","20.85亿","20.85亿","-","三季报","2020-02-26 18:01:26","601336"
"2019-09-30","15.00亿","15.00亿","15.00亿","-","三季报","2020-02-26 18:01:33","601339"
"2019-09-30","67.64亿","67.64亿","3.97亿","63.67亿","三季报","2020-02-26 18:01:30","601360"
"2019-09-30","8.61亿","8.61亿","4.75亿","3.85亿","三季报","2020-02-26 18:01:36","601366"
"2019-09-30","8.83亿","8.83亿","7.36亿","1.47亿","三季报","2020-02-26 18:01:38","601368"
"2019-10-24","16.78亿","16.78亿","16.39亿","3956.00万","股权激励","2020-02-26 18:01:42","601369"
"2019-09-30","38.69亿","26.74亿","18.03亿","8.71亿","三季报","2020-02-26 18:01:45","601375"
"2019-09-30","66.97亿","66.97亿","66.97亿","-","三季报","2020-02-26 18:01:48","601377"
"2019-09-30","20.25亿","20.25亿","20.25亿","-","三季报","2020-02-26 18:01:54","601388"
"2019-09-30","245.71亿","203.64亿","186.37亿","17.27亿","三季报","2020-02-26 18:01:50","601390"
"2019-09-30","3564.06亿","2696.12亿","2696.12亿","-","三季报","2020-02-26 18:01:56","601398"
"2019-09-30","8.72亿","8.72亿","7.27亿","1.45亿","三季报","2020-02-26 18:01:58","601500"
"2019-09-30","13.34亿","13.34亿","13.34亿","-","三季报","2020-02-26 18:02:06","601515"
"2019-09-30","13.50亿","13.50亿","12.13亿","1.37亿","三季报","2020-02-26 18:02:00","601518"
"2019-09-30","19.88亿","19.88亿","19.88亿","-","三季报","2020-02-26 18:02:10","601519"
"2019-09-30","30.00亿","30.00亿","30.00亿","-","三季报","2020-02-26 18:02:14","601555"
