"code","first_industry","second_industry","c_industry"
"001872","交通运输","港口Ⅱ","交通运输 — 港口Ⅱ"
"001896","公用事业","电力","公用事业 — 电力"
"001965","交通运输","高速公路Ⅱ","交通运输 — 高速公路Ⅱ"
"001979","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"002001","医药生物","化学制药","医药生物 — 化学制药"
"002002","化工","化学原料","化工 — 化学原料"
"002003","纺织服装","纺织制造","纺织服装 — 纺织制造"
"002004","化工","化学制品","化工 — 化学制品"
"002005","电子","光学光电子","电子 — 光学光电子"
"002006","机械设备","专用设备","机械设备 — 专用设备"
"002007","医药生物","生物制品Ⅱ","医药生物 — 生物制品Ⅱ"
"002009","机械设备","专用设备","机械设备 — 专用设备"
