"code","c_actual_controller","c_final_controller","c_chairman","c_chairman_secretary","c_legal_representative","c_general_manager"
"600117","青海省政府国有资产监督管理委员会","青海省政府国有资产监督管理委员会","尹良求","熊俊","尹良求","张伯影"
"600118","中国航天科技集团公司","国务院国有资产监督管理委员会","张洪太","万银娟","张洪太","葛玉君"
"600119","上海市国有资产监督管理委员会","上海市国有资产监督管理委员会","居亮","俞泓","居亮","孙立"
"600120","浙江省人民政府国有资产监督管理委员会","浙江省人民政府国有资产监督管理委员会","金朝萍","何欣","金朝萍","徐晓东"
"600121","河南省人民政府国有资产监督管理委员会","河南省人民政府国有资产监督管理委员会","于泽阳","陈晓燕","于泽阳","张海洋"
"600122","袁亚非","袁亚非","廖帆","黄锦哲","廖帆","廖帆"
"600123","晋城市国有资产管理委员会","晋城市国有资产管理委员会","李晓明","王立印","李晓明","李晓明"
"600125","中国铁路总公司","中国铁路总公司","张骥翼","畅晓东","辛明","辛明"
"600126","浙江省人民政府国有资产监督管理委员会","浙江省人民政府国有资产监督管理委员会","吴东明","吴继华","吴东明","牟晨晖"
"600127","长沙市人民政府国有资产监督管理委员会","长沙市人民政府国有资产监督管理委员会","全臻","陈绍红","全臻","陈伟"
"600128","江苏省人民政府国有资产监督管理委员会","江苏省人民政府国有资产监督管理委员会","吴廷昌","罗凌","吴廷昌","吴廷昌"
"600129","重庆市涪陵区国有资产监督管理委员会","重庆市涪陵区国有资产监督管理委员会","李阳春","蒋茜","李阳春","袁永红"
"600130","-",,"徐立华","马思甜","徐立华","张樟铉"
"600131","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","吴耕","肖劲松","吴耕","李高一"
"600132","CARLSBERG FOUNDATION(嘉士伯基金会)","CARLSBERG FOUNDATION(嘉士伯基金会)","罗磊","邓炜","Roland Arthur Lawrence","陈松"
"600133","湖北省人民政府国有资产监督管理委员会","湖北省人民政府国有资产监督管理委员会","杨涛","段静","杨涛","王玮"
"600135","中国航天科技集团公司","国务院国有资产监督管理委员会","滕方迁","张永光","滕方迁","郑文耀"
"600136","艾路明","艾路明","易仁涛","高维","易仁涛","闫爱华"
"600137","翁荣金、翁关荣、翁荣弟","翁荣金、翁关荣、翁荣弟","翁荣弟","马中明","翁荣弟","翁荣弟"
"600138","中国青旅集团有限公司","中国青旅集团有限公司","康国明","范思远","康国明","邱文鹤"
"600139","阙文彬","阙文彬","夏勇","王娜","夏勇","孙小松"
"600141","兴山县人民政府国有资产监督管理委员会","兴山县人民政府国有资产监督管理委员会","李国璋","程亚利","李国璋","舒龙"
"600143","袁志敏","袁志敏","袁志敏","宁凯军","袁志敏","李南京"
"600146","杨军","杨军","罗俊","陈海燕","罗俊","杨军"
"600148","中国兵器工业集团有限公司","国务院国有资产监督管理委员会","于中赤","孙长增","于中赤","孟庆洪"
"600149","廊坊市自然资源和规划局","廊坊市自然资源和规划局","王大为","张春岭","王大为","曹玫"
"600150","中国船舶工业集团有限公司","国务院国有资产监督管理委员会","雷凡培","陶健","雷凡培","杨金成"
"600151","中国航天科技集团有限公司","国务院国有资产监督管理委员会","张建功","李亚军","张建功","荆怀靖"
"600152","何承命","何承命","何承命","薛春林","何承命","杨东文"
"600153","厦门市国有资产监督管理委员会","厦门市国有资产监督管理委员会","张勇峰","江桂芝","张勇峰","郑永达"
"600155","刘永好","刘永好","陶永泽","赵长栓","陶永泽","陶永泽"
"600156","湖南省人民政府国有资产监督管理委员会","湖南省人民政府国有资产监督管理委员会","杨洁","段传华","杨洁","刘少波"
