股票代码,公司名称
002435,"郁全和,郁霞秋,邱其琴,黄忠和"
002437,朱吉满、白莉惠
002439,王佳、严立
002440,张爱娟、阮静波、阮加春、阮靖淅、阮吉祥、张云达
002442,刘江山
002443,李巧思、封堃、孙进峰
002444,仇建平、王玲玲
002445,江阴高新技术创业园管理委员会
002447,薛成标
002449,广东省广晟资产经营有限公司
002451,问泽鸿
002453,张景明
002454,陈福成
002455,郑铁江、王亚娟
002457,陈家兴
002461,广州市人民政府国有资产监督管理委员会
002462,国务院国有资产监督管理委员会
002463,吴礼淦家族
002465,广州市国资委
002468,陈德军、陈小英
002471,杨飞
002472,吴长鸿、陈菊花、蒋亦卿、陈剑峰
002473,覃辉
002475,王来胜、王来春
002479,孙庆炎
002480,四川省国有资产监督管理委员会
002481,招远市金岭镇人民政府
002482,叶远西
002484,方铿
002486,李兆廷
002488,孙锋峰、孙金国、孙利群
002489,谢建勇、谢建强、谢建平、谢先兴
002490,张恩荣
002495,林平涛、林长浩、林长青、许巧婵、林长春
002498,张思夏
002500,山西省财政厅
002501,王民、张永侠、王建新
002504,"何宁,甄建涛"
002505,姜照柏
002507,重庆市涪陵区国有资产监督管理委员会
002510,"胡津生,常世平,董书新,尹宝茹,任伟,张义生,鲍建新,王子玲"
002511,邓颖忠、邓冠彪、邓冠杰
002514,陈东、汪敏
002518,刘程宇、刘玲
002520,吴捷先生和吴良定先生家族
002522,陈大魁
002523,株洲市人民政府国有资产监督管理委员会
002526,赵笃学
002527,纪德法、刘丽萍、纪翌
002528,深圳市国有资产监督管理委员会
002529,李良光、李建峰、李祥凌
002532,许敏田、杨佩华
002533,吴学愚、孙文利
002534,王水福、陈夏鑫、谢水琴
002536,孙耀志、孙耀忠
002537,刘国平、孙刚
002538,袁启宏
002540,周福海、周吉、于丽芬
002541,商晓波、邓烨芳
002542,成都市国有资产监督管理委员会
002543,卢础其、卢楚隆、卢楚鹏
002544,中国电子科技集团有限公司
002545,韩汇如
002547,孙洁晓
002552,朱丽霞、朱宝松、钱玉英
002553,史建伟、史娟华、史维
002554,长沙市人民政府国有资产监督管理委员会
002556,安徽省供销合作社联合社
002559,2171万
002560,史万福、马红菊
002561,上海市徐汇区国有资产监督管理委员会
002562,钱志达、钱志明
002563,邱光和、邱坚强、周平凡、戴智约、邱艳芳
002564,上海市国有资产监督管理委员会
002565,王丹、张少怀
002572,江淦钧、柯建生
002573,四川省国有资产监督管理委员会
002574,虞兔良、虞阿五
002575,王叁寿
002576,魏少军、魏强
002580,298.9万
002581,潘爱华、杨晓敏、罗德顺、赵芙蓉
002584,黄伟波、黄少群、黄伟鹏、黄侦杰、黄侦凯
002586,冯全宏、王掌权、罗全民、张子和、邱春方
002588,高文班、高进华、高英、高文安、高文靠、古龙粉、高文都
002589,张仁华、韩旭
002590,陈锋、陈利祥、陈永汉、俞迪辉、陈黎慕、陈黎明
002591,朱星河、胡恩雪
002593,吴子文、吴丽珠
002596,张海林、冯活灵、张艺林
002597,杨迎春、杨乐
002598,济南市章丘区财政局
002602,王苗通、王一锋
002603,吴以岭、吴相君、吴瑞
002605,姚朔斌、姚晓丽、姚文琛、姚硕榆、邱金兰
002607,鲁忠芳、李永新
002608,江苏省国有资产监督管理委员会
002609,唐健、刘翠英
002611,唐灼林、唐灼棉
002612,申东日、申今花
002614,邹剑寒、李五令
002616,何启强、麦正辉
002617,鲁小均、李伯英、鲁永
002619,吕仁高
002621,解直锟
002623,林金锡、林金汉
002627,宜昌市人民政府国有资产监督管理委员会
002632,胡智雄、胡智彪
002633,何全波、何建东
002635,吕莉、王春生
002637,张惠琪
002638,李旭亮、温琦
002639,林汝捷
002640,广州开发区管委会
002641,张建均、卢彩芬
002642,王东辉、吴敏
002643,中国节能环保集团有限公司
002644,兰州市国有资产监督管理委员会
002645,胡士勇、胡士清、胡士法、胡士勤
002648,杨卫东、杨亚珍
002650,杨振、肖赛平、杨子江
002653,王俊民、范秀莲、郑伟
002654,湖北省国有资产监督管理委员会
002656,林永飞
002657,沈飒、朱烨东
002659,北京市海淀区国有资产管理委员会
002664,尹兴满
002665,黄文佳、黄卿乐、黄文博
002666,徐团华、徐庆芳、徐咸大
002667,杨永柱、温萍
002669,唐山市人民政府国有资产监督管理委员会
002670,杜力、张巍
002671,许培锋
002672,广东省人民政府国有资产监督管理委员会
002673,陕西省人民政府国有资产监督管理委员会
002677,夏志生、夏鼎、夏兰、鲍逸鸿
002678,广州市人民政府国有资产监督管理委员会
002679,将乐县财政局
002682,龙岩市人民政府国有资产监督管理委员会
002683,广东省广业集团有限公司
002684,陈再喜、陈银卿、陈乐伍、陈乐强
002685,翁耀根、翁杰、孟正华
002686,浙江省人民政府国有资产监督管理委员会
002687,池方燃、陈永霞、池也
002688,王东晓、路牡丹、路漫漫、王志军、王晓英
002691,冯春保
002693,王成栋、王荧璞
002694,任永青
002695,徐桂芬、褚建庚、褚剑、褚浚
002696,孙忠义、蔡晶
002698,邓喜军、张玉春、王永洁、王春钢、蔡志宏、刘美霞、王昊成、贾冬梅、邓明承、成志锋
002699,赵小强
002702,滕用雄
002703,张世权、汤浩瀚、张宝义、张兰君、张世忠
002706,任思龙、丁发晖、樊剑军、陈平、任思荣
002708,扬州富海光洋股权投资基金合伙企业(有限合伙)
002711,陈礼豪家族
002712,四川省政府国有资产监督管理委员会
002713,陈辉、杨劲
002714,秦英林、钱瑛
002718,时沈祥、骆莲琴
002719,李勇、王翠先、李玉瑚、李刚
002721,北京市海淀区人民政府国有资产监督管理委员会
002725,林仙明、林万青、林信福、林申茂、林斌、林平
002726,戴学斌、董翔
002728,许丹青、许松青、许为高、许丽芳、许恒青
002729,黄舒婷、郑倩龄
002730,石向才、石志微、石晓霞、石碎标、施隆、朱丹
002732,广东省农垦集团公司
002734,李明、李新生、李媛媛
002736,深圳市国资委
002737,关彦斌
002738,"刘新国,王平卫,吴志华,陈海舟,汪芳淼,魏云峰,欧学钢7名实际控制人"
002739,王健林
002740,苏日明、狄爱玲
002741,郑创发、郑靭、郑侠
002742,潘先文、周廷娥
002743,杨俊斌
002746,王寿纯、曲立荣
002752,林永龙、林永保、林永贤
002753,刘东良、靳彩红
002757,林旺南、詹谏醒
002758,浙江省供销合作社联合社
002759,吴锡盾、池锦华
