股票代码,公司名称,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
601908,上海汽车集团股权投资有限公司,4568.54万,2.29%,无质押,流通A股,4,2019-09-30
601918,中远海运集团财务有限责任公司,2423.00万,0.94%,无质押,流通A股,5,2019-09-30
601975,民生金融租赁股份有限公司,1.18亿,2.34%,-,受限流通股,8,2019-09-30
601990,江苏凤凰置业有限公司,2.07亿,6.28%,-,流通A股,4,2019-09-30
601996,深圳索菲亚投资管理有限公司,6528.19万,5.70%,无质押,受限流通股,2,2019-09-30
603037,黎明化工研究设计院有限责任公司,1024.74万,9.68%,无质押,流通A股,2,2019-09-30
603037,深圳市华益成路投资合伙企业(有限合伙),343.52万,3.25%,无质押,流通A股,3,2019-09-30
603117,南昌红土创新资本创业投资有限公司,397.37万,0.62%,无质押,流通A股,6,2019-09-30
603168,上海景兴实业投资有限公司,2823.55万,8.75%,无质押,流通A股,3,2019-09-30
603189,安徽华茂产业投资有限公司,240.00万,1.09%,无质押,流通A股,6,2019-09-30
603197,海通开元投资有限公司,700.00万,4.21%,无质押,流通A股,3,2019-09-30
603220,深圳市国信弘盛股权投资基金(有限合伙),2572.15万,7.62%,无质押,受限流通股,2,2019-09-30
603278,深圳市创新投资集团有限公司,1690.91万,5.83%,无质押,流通A股,3,2019-09-30
603278,南昌红土创新资本创业投资有限公司,297.67万,1.03%,无质押,流通A股,8,2019-09-30
603279,国海创新资本投资管理有限公司,595.10万,1.49%,无质押,受限流通股,8,2019-09-30
603289,海通开元投资有限公司,1334.00万,5.00%,无质押,流通A股,3,2019-09-30
603298,浙江杭叉控股股份有限公司,2.77亿,44.72%,无质押,受限流通股,1,2019-09-30
603308,安徽交控招商产业投资基金(有限合伙),1760.56万,3.61%,无质押,受限流通股,3,2019-11-15
603315,上海中兵国泰君安投资中心(有限合伙),401.71万,1.31%,无质押,流通A股,6,2019-09-30
603317,深圳市达晨财智创业投资管理有限公司,180.00万,0.44%,无质押,受限流通股,7,2019-09-30
603359,海通开元投资有限公司,560.00万,1.76%,-,流通A股,7,2019-09-30
603378,辽宁海通新能源低碳产业股权投资基金有限公司,678.20万,3.48%,无质押,流通A股,7,2019-09-30
603507,上海鸿立股权投资有限公司,1302.48万,10.17%,68.02%,流通A股,2,2019-09-30
603507,上海鸿立华享投资合伙企业(有限合伙),634.01万,4.95%,无质押,流通A股,5,2019-09-30
603519,伊犁苏新投资基金合伙企业(有限合伙),1120.00万,5.05%,-,流通A股,3,2019-09-30
603586,黄河三角洲产业投资基金管理有限公司,523.00万,2.57%,-,流通A股,5,2019-12-05
