股票代码,公司名称,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
603378,辽宁海通新能源低碳产业股权投资基金有限公司,678.20万,9.83%,流通A股,1,2019-09-30
603379,长江证券承销保荐有限公司,19.92万,0.33%,流通A股,8,2019-09-30
603507,上海鸿立股权投资有限公司,1302.48万,16.20%,流通A股,1,2019-09-30
603507,上海鸿立华享投资合伙企业(有限合伙),634.01万,7.89%,流通A股,3,2019-09-30
603519,伊犁苏新投资基金合伙企业(有限合伙),1120.00万,5.05%,流通A股,3,2019-09-30
603538,宁波东方聚金嘉华投资管理中心(有限合伙),110.00万,1.23%,流通A股,10,2019-09-30
603586,黄河三角洲产业投资基金管理有限公司,523.00万,5.54%,流通A股,3,2019-12-05
603619,深圳市创新投资集团有限公司,2745.89万,19.16%,流通A股,1,2019-09-30
603648,上海外高桥保税区联合发展有限公司,3804.07万,13.92%,流通A股,2,2019-09-30
603665,浙江满博投资管理有限公司,556.25万,14.92%,流通A股,1,2019-09-30
603679,东吴创业投资有限公司,513.89万,12.69%,流通A股,1,2019-09-30
603701,深圳市创新投资集团有限公司,158.20万,0.79%,流通A股,7,2019-09-30
603721,国信弘盛创业投资有限公司,136.30万,2.21%,流通A股,5,2019-09-30
603803,海通开元投资有限公司,3210.00万,14.60%,流通A股,1,2019-09-30
603822,浙江瓯联创业投资有限公司,365.00万,4.98%,流通A股,7,2019-09-30
603889,中广核财务有限责任公司,995.23万,1.94%,流通A股,4,2019-09-30
603908,深圳市创新投资集团有限公司,138.79万,6.02%,流通A股,1,2019-09-30
603937,深圳市创新投资集团有限公司,218.94万,2.89%,流通A股,2,2019-09-30
603980,杭州辽通鼎能股权投资合伙企业(有限合伙),3816.58万,11.10%,流通A股,1,2019-09-30
603987,宏源汇富创业投资有限公司,529.23万,2.03%,流通A股,7,2019-09-30
603993,宁波杉杉创业投资有限公司,4.71亿,2.18%,流通A股,7,2019-09-30
688009,申万宏源证券有限公司,265.00万,0.08%,流通A股,6,2019-09-30
688022,安信证券股份有限公司,30.00万,1.23%,流通A股,1,2019-09-30
688168,申万宏源证券有限公司,25.89万,2.23%,流通A股,1,2019-09-30
688168,渤海证券股份有限公司,6.00万,0.52%,流通A股,6,2019-09-30
688199,深圳市创新投资集团有限公司,542.37万,9.06%,三板流通A股,1,2019-06-30
