pid,股票代码,职务,薪酬,直接持股数,高管类型
11191,000050,副总经理,178.5万,1.08万,监事会
13391,000050,副总经理,178万,7800,监事会
22616,000050,副总经理,180万,7700,监事会
19129,000050,"副董事长,董事",-,-,董事会
18450,000050,副总经理,176万,1万,监事会
49220,000050,监事,-,-,监事会
42884,000050,董事,-,-,董事会
26572,000050,监事会主席,-,3000,监事会
17796,000050,副总经理,209万,7800,监事会
45311,000050,独立董事,12.8万,-,董事会
22639,000050,董事,-,-,董事会
38172,000050,职工监事,70.53万,-,监事会
14889,000050,监事,-,-,监事会
34329,000050,董事会秘书,66.79万,-,监事会
37050,000050,"董事长,董事",266.4万,-,董事会
25064,000050,独立董事,12.8万,-,董事会
