股票代码,申万一级行业
300168,计算机
300169,化工
300170,计算机
300171,机械设备
300172,公用事业
300173,机械设备
300174,化工
300175,农林牧渔
300176,计算机
300177,计算机
300178,休闲服务
300179,机械设备
300180,化工
300181,医药生物
300182,传媒
300183,通信
300184,电子
300185,电气设备
300187,公用事业
300188,计算机
300189,农林牧渔
300190,公用事业
300191,采掘
300192,传媒
300193,机械设备
300194,医药生物
300195,机械设备
300196,化工
300197,公用事业
300198,建筑材料
300199,医药生物
300200,化工
300201,机械设备
300202,计算机
300203,公用事业
300204,医药生物
300205,通信
300206,医药生物
300207,电子
300208,电气设备
300209,计算机
300210,机械设备
300211,通信
300212,计算机
300213,通信
300214,化工
300215,电气设备
300217,家用电器
300218,化工
300219,电子
300220,电子
300221,化工
300222,机械设备
300223,电子
300224,有色金属
300225,化工
300226,传媒
300227,电子
300228,机械设备
300229,计算机
300230,化工
300231,计算机
300232,电子
300233,医药生物
300234,建筑材料
300235,计算机
300236,化工
300237,建筑装饰
300238,医药生物
300239,医药生物
300240,交通运输
300241,电子
300242,传媒
300243,化工
300244,医药生物
300245,计算机
300246,医药生物
300247,家用电器
300248,计算机
300249,计算机
300250,计算机
300251,传媒
300252,通信
300253,计算机
300254,医药生物
300255,医药生物
300256,电子
300257,机械设备
300258,汽车
300259,机械设备
300260,机械设备
300261,化工
300262,公用事业
300263,公用事业
300264,计算机
300265,电气设备
300266,公用事业
300267,医药生物
300268,农林牧渔
300269,传媒
300270,计算机
300271,计算机
300272,家用电器
300273,医药生物
300274,电气设备
300275,机械设备
300276,机械设备
300277,计算机
300278,机械设备
300279,电子
300280,传媒
300281,机械设备
300282,传媒
300283,电气设备
300284,建筑装饰
300285,有色金属
300286,电气设备
300287,计算机
300288,计算机
300289,医药生物
300290,计算机
300291,传媒
300292,传媒
300293,机械设备
300294,医药生物
300295,传媒
300296,电子
300297,计算机
300298,医药生物
300299,传媒
300300,计算机
300301,电子
300302,计算机
300303,电子
300304,汽车
300305,化工
300306,机械设备
300307,机械设备
300308,通信
300309,非银金融
300310,通信
300311,计算机
300312,通信
300313,农林牧渔
300314,医药生物
300315,传媒
300316,电气设备
300317,电气设备
300318,医药生物
300319,电子
300320,化工
300321,化工
300322,电子
300323,电子
300324,计算机
300325,化工
300326,医药生物
300327,电子
300328,有色金属
300329,轻工制造
300330,计算机
300331,电子
300332,公用事业
300333,计算机
300334,公用事业
300335,公用事业
300336,传媒
300337,有色金属
300338,传媒
300339,计算机
300340,电子
300341,机械设备
300342,家用电器
300343,传媒
300344,计算机
300345,机械设备
300346,电子
300347,医药生物
300348,计算机
300349,机械设备
300350,交通运输
300351,机械设备
300352,计算机
300353,通信
300354,机械设备
300355,公用事业
300356,电气设备
300357,医药生物
