机构名称,类型
圆信永丰消费升级灵活配置混合型证券投资基金,基金
大家人寿保险股份有限公司,保险公司
天治新消费灵活配置混合型证券投资基金,基金
天治转型升级混合型证券投资基金,基金
安信中证复兴发展100主题指数型证券投资基金A,基金
安信动态策略灵活配置混合型证券投资基金A,基金
安信恒利增强债券型证券投资基金A,基金
安信新价值灵活配置混合型证券投资基金A,基金
安信新常态沪港深精选股票型证券投资基金,基金
安信比较优势灵活配置混合型证券投资基金,基金
安信盈利驱动股票型证券投资基金A,基金
富国中证国有企业改革指数分级证券投资基金,基金
富国新兴产业股票型证券投资基金,基金
富时中国A50交易型开放式指数证券投资基金,基金
富荣富安债券型证券投资基金A,基金
工银瑞信产业债债券型证券投资基金A,基金
工银瑞信优质精选混合型证券投资基金,基金
工银瑞信双债增强债券型证券投资基金(LOF),基金
工银瑞信总回报灵活配置混合型证券投资基金,基金
工银瑞信文体产业股票型证券投资基金,基金
工银瑞信新生代消费灵活配置混合型证券投资基金,基金
工银瑞信新财富灵活配置混合型证券投资基金,基金
工银瑞信新金融股票型证券投资基金,基金
工银瑞信添慧债券型证券投资基金A,基金
工银瑞信添祥一年定期开放债券型证券投资基金,基金
工银瑞信添颐债券型证券投资基金A类,基金
工银瑞信现代服务业灵活配置混合型证券投资基金,基金
工银瑞信瑞盈18个月定期开放债券型证券投资基金,基金
工银瑞信稳健成长混合型证券投资基金A,基金
工银瑞信红利混合型证券投资基金,基金
工银瑞信聚福混合型证券投资基金A,基金
平安中证粤港澳大湾区发展主题交易型开放式指数证券投资基金,基金
平安深证300指数增强型证券投资基金,基金
平安鼎泰灵活配置混合型证券投资基金(LOF),基金
平安鼎越灵活配置混合型证券投资基金,基金
广发资源优选股票型发起式证券投资基金,基金
建信中证500指数增强型证券投资基金A,基金
建信鑫瑞回报灵活配置混合型证券投资基金,基金
德邦新添利债券型证券投资基金A,基金
招商沪深300地产等权重指数分级证券投资基金,基金
招商财富-招商银行-德赢1号专项资产管理计划,一般法人
新华优选分红混合型证券投资基金,基金
新华战略新兴产业灵活配置混合型证券投资基金,基金
新华鑫动力灵活配置混合型证券投资基金A,基金
易方达3年封闭运作战略配售灵活配置混合型证券投资基金(LOF),基金
易方达价值精选混合型证券投资基金,基金
易方达国企改革指数分级证券投资基金,基金
易方达瑞弘灵活配置混合型证券投资基金A,基金
易方达瑞程灵活配置混合型证券投资基金A,基金
易方达瑞选灵活配置混合型证券投资基金I,基金
易方达瑞通灵活配置混合型证券投资基金A,基金
易方达裕祥回报债券型证券投资基金,基金
景顺长城品质投资混合型证券投资基金,基金
景顺长城四季金利债券型证券投资基金A类,基金
景顺长城泰和回报灵活配置混合型证券投资基金A,基金
民生加银研究精选灵活配置混合型证券投资基金,基金
民生加银积极成长混合型发起式证券投资基金,基金
汇丰晋信恒生A股行业龙头指数证券投资基金A,基金
泓德战略转型股票型证券投资基金,基金
泓德泓业灵活配置混合型证券投资基金,基金
泓德泓华灵活配置混合型证券投资基金,基金
泓德泓益量化混合型证券投资基金,基金
泓德裕康债券型证券投资基金A,基金
泰康均衡优选混合型证券投资基金A,基金
泰康宏泰回报混合型证券投资基金,基金
泰康弘实3个月定期开放混合型发起式证券投资基金,基金
泰康新机遇灵活配置混合型证券投资基金,基金
泰康景泰回报混合型证券投资基金A,基金
泰康策略优选灵活配置混合型证券投资基金,基金
泰达宏利宏达混合型证券投资基金A份额,基金
海富通富祥混合型证券投资基金,基金
海富通强化回报混合型证券投资基金,基金
海富通欣荣灵活配置混合证券投资基金C,基金
海富通沪深300指数增强型证券投资基金A,基金
海富通稳固收益债券型证券投资基金,基金
海富通量化多因子灵活配置混合型证券投资基金C,基金
深圳市地铁集团有限公司,一般法人
深圳市钜盛华股份有限公司,一般法人
申万菱信中证500指数优选增强型证券投资基金A,基金
红土创新新兴产业灵活配置混合型证券投资基金,基金
红塔红土盛世普益灵活配置混合型发起式证券投资基金,基金
英大国企改革主题股票型证券投资基金,基金
融通通盈灵活配置混合型证券投资基金,基金
西部利得沪深300指数增强型证券投资基金A,基金
诺安优化配置混合型证券投资基金,基金
诺安创新驱动灵活配置混合型证券投资基金A,基金
诺安进取回报灵活配置混合型证券投资基金,基金
财通多策略福享混合型证券投资基金(LOF),基金
财通多策略福瑞混合型发起式证券投资基金(LOF),基金
财通量化核心优选混合型证券投资基金,基金
金鹰产业整合灵活配置混合型证券投资基金,基金
金鹰智慧生活灵活配置混合型证券投资基金,基金
金鹰红利价值灵活配置混合型证券投资基金,基金
鑫元鑫趋势灵活配置混合型证券投资基金A,基金
银华优质增长混合型证券投资基金,基金
