股票代码,pid,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000510,59842,420.01万,0.76%,流通A股,8,2019-09-30
000510,59843,294.90万,0.54%,流通A股,9,2019-09-30
000514,59844,106.77万,0.13%,流通A股,10,2019-09-30
000514,59845,890.86万,1.06%,流通A股,2,2019-09-30
000514,59846,253.94万,0.30%,流通A股,4,2019-09-30
000514,59847,209.43万,0.25%,流通A股,5,2019-09-30
000514,59848,141.36万,0.17%,流通A股,7,2019-09-30
000514,59849,139.28万,0.17%,流通A股,8,2019-09-30
000516,59850,636.91万,0.33%,流通A股,10,2019-09-30
000516,6259,1359.94万,0.70%,流通A股,8,2019-09-30
000516,59851,895.33万,0.46%,流通A股,9,2019-09-30
000517,59852,440.52万,0.15%,流通A股,10,2019-09-30
000517,3019,2.36亿,7.78%,流通A股,2,2019-09-30
000517,59853,651.51万,0.21%,流通A股,5,2019-09-30
000517,59854,544.78万,0.18%,流通A股,7,2019-09-30
000517,59855,449.99万,0.15%,流通A股,8,2019-09-30
000517,59856,449.51万,0.15%,流通A股,9,2019-09-30
000518,59857,1.44亿,14.00%,流通A股,1,2019-09-30
000518,59858,2593.91万,2.52%,流通A股,10,2019-09-30
000518,59859,4735.78万,4.60%,流通A股,3,2019-09-30
000518,59860,4306.29万,4.18%,流通A股,4,2019-09-30
000518,59861,3733.03万,3.63%,流通A股,5,2019-09-30
000518,59862,3213.92万,3.12%,流通A股,6,2019-09-30
000518,59863,2876.89万,2.79%,流通A股,8,2019-09-30
000518,59864,2609.68万,2.53%,流通A股,9,2019-09-30
000519,69905,3231.58万,3.46%,流通A股,2,2019-09-30
000520,59865,457.21万,0.45%,流通A股,10,2019-09-30
000520,59866,718.63万,0.71%,流通A股,8,2019-09-30
000521,59867,587.50万,0.61%,流通A股,8,2019-09-30
000521,59868,468.00万,0.49%,流通A股,9,2019-09-30
000523,59869,207.22万,0.33%,流通A股,10,2019-09-30
000523,59870,630.00万,1.00%,流通A股,3,2019-09-30
000523,59871,503.81万,0.80%,流通A股,4,2019-09-30
000523,59872,416.60万,0.66%,流通A股,5,2019-09-30
000523,59873,399.00万,0.64%,流通A股,6,2019-09-30
000523,59874,380.42万,0.61%,流通A股,7,2019-09-30
000524,69906,74.53万,0.27%,流通A股,10,2019-09-30
000524,59876,201.19万,0.74%,流通A股,3,2019-09-30
000524,59875,100.71万,0.37%,流通A股,5,2019-09-30
000524,69907,97.40万,0.36%,流通A股,6,2019-09-30
000524,69908,92.30万,0.34%,流通A股,7,2019-09-30
000524,69909,85.00万,0.31%,流通A股,8,2019-09-30
